efta_number,page_number,inspection_type,doc_type,severity,description,flags,timestamp
EFTA00638313,2,name_redaction,email,medium,Current version redacts name Lesley Groff from the email From/To header and extends redaction bars in the forwarded message about carpet for Epstein Gulfstream. Susan Hamblin name now redacted in the forwarded chain.,,1772695986
EFTA00638787,2,partial_redaction,email,medium,"Email chain about NYC apartment logistics for Epstein's 301 E 66th St properties, Sep 2016. Discusses apartment assignments (7J, 11P), Bobby Slayton visit, Lyn moving. Original shows Karyna Shuliak and Lesley Groff names visible in sender fields. Current version redacts their names from the email headers while preserving body content including names mentioned in text (Bobby Slayton, Karyna mentioned in body, Richard Kahn). Address at HBRK Associates with tel/fax/cell visible in current (reformatted).",agent_batch_005,1772672472
EFTA00642747,0,name_redaction,email,medium,Current version redacts the sender name in the From field that was previously visible as Lesley Groff. Email thread between Nina K and Lesley Groff about meeting with Jeffrey on Saturday shows name redactions in headers.,,1772695986
EFTA00644017,0,name_redaction,email,medium,Email from GMI Productions Audrey about meeting on Cote d'Azur. Current version redacts the name after Kisses sign-off and adds xx visible in curr but redacted name area differs from original.,,1772695399
EFTA00644019,0,body_blackout,resume_cv,medium,"Epstein 'Education Program' CV/resume — part of Prusakova cluster. pct_changed=51.7%. Content details blacked out, structural elements (dates, headers) preserved. Batch-classified from established pattern.","prusakova_cluster,education_program,resume_cv,batch_classified,body_blackout",2026-03-04 18:43:10
EFTA00645381,0,name_redaction,email,high,"Original shows full name ""Anastasya Sinochenko"" and email visible in To field header; current version has black redaction covering the name and email in this forwarded email about auditor visit from Jay Kim CPA including IRS and artwork fabrication invoices.",,1772696995
EFTA00648625,1,name_redaction,email,medium,New redactions applied over personal names and contact information in email thread; original had more identifying details visible.,,1772696995
EFTA00648702,0,name_redaction,email,medium,Email about scheduling in Paris. Lesley Groff email to Margherita Valdoncorin. Current version adds black box redactions over some name and email fields in the header area where they were previously visible.,,1772695399
EFTA00650977,6,partial_redaction,email_thread,high,"Email thread about art studio/apartment visit. From Anastasiya Sirotchenko to Jay Kim (David Weiss CPA). Original shows full sender name, email addresses, CC recipients. Current version has black redaction bars over sender email in From field, some CC names. Office address and CPA info remain. Names of individuals in the Epstein art business network partially redacted.",agent_batch_001,1772672472
EFTA00654395,1,partial_redaction,other,low,Original OptiOpia lens company description showed phone number and notation; current version has black redaction bar covering what appears to be a phone number in the contact section.,,1772696995
EFTA00654459,0,name_redaction,email,high,"Email reply to Jeffrey Epstein from BlackBerry/T-Mobile; current version redacts the To: line showing ""Irina<irinairina22@yahoo.com>"" that was visible in original, replacing with a black bar.",,1772713228
EFTA00654580,5,content_removal,email_correspondence,high,"Email from Anastasiya Siro (CPA at David Weiss CPA PLLC) about auditor visit to apartment. Original shows full details: apartment layout, art consultancy business description, inventory/artwork handling, storage between apartment and studio. Also shows questions about current apartment layout. Current version redacts: the apartment description paragraphs (items 1-3 about room layout, art business), and the numbered questions at bottom. Substantive content about property/business operations removed.",agent_batch_000,1772672472
EFTA00655308,0,partial_redaction,email,medium,"Email chain about Paris travel logistics and driver/car arrangements. Original shows full names and email addresses. Current version redacts some. Content about Valdoon waiting, calling him right now, flight EZY4298, driver pickup from airport visible.",agent_batch_006,1772672472
EFTA00655709,0,name_redaction,email,medium,Email forwarding travel itinerary for BACH/JOSCHA. Current version redacts two passenger names (BACHIMARA MARIA and two others) that were visible in the original travel booking.,,1772695399
EFTA00656108,0,partial_redaction,email,medium,Email document. Current version adds redactions to names and email addresses in headers. Body content preserved.,agent_batch_005,1772672472
EFTA00656320,0,name_redaction,email,medium,Original showed recipient name and email address in To field; current version has black redaction bars over the To recipient email address.,,1772696995
EFTA00656929,0,partial_redaction,prusakova_email,medium,"Prusakova email thread — additional message at top from Oct 13, 2011: 'Jeffrey, are you returning to Paris?' Epstein: 'if someone did look at it, they did so without caring, there were many many errors.' Class cost discussion preserved, essay body blacked out","prusakova,education_program,epstein_reply_visible,paris,partial_redaction",2026-03-04 18:41:06
EFTA00656984,1,body_blackout,prusakova_email,medium,"Epstein 'Education Program' email/essay — part of Prusakova cluster. pct_changed=5.2%. Email body/essay content blacked out, headers/footers preserved. Batch-classified from established pattern.","prusakova_cluster,education_program,email_essay,batch_classified,body_blackout",2026-03-04 18:43:10
EFTA00657366,0,mixed_changes,email,medium,"Email from Svetlana about Ana's schedule: current version redacts ""Svetlana"" name, redacts ""ana"" name and location ""phila"" in body text with black bars. Also removes the ""Envoy de mon iPhone"" French text.",,1772696995
EFTA00661939,0,name_redaction,email,medium,Email thread about flight from Milan: current version redacts the To/Cc fields and the From name (Selina P) in the forwarded message section; body text about booking flight unchanged.,,1772713228
EFTA00663096,0,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=6.4%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00663101,0,mixed_changes,email,high,Current version redacts 'Mariana Idzkowska' name in From field and the URL (thecollective.edu/583/Four-Week_Intensive) is covered with black bar; original showed full name and URL visible.,,1772695986
EFTA00663825,3,name_redaction,investigation_report,medium,Current version applies slightly wider/different black redaction bars over victim names in this Attorney Proffer document. The text content about employment and Epstein's incarceration remains readable but redaction placement differs slightly.,,1772695986
EFTA00664395,0,partial_redaction,email,medium,"Email forwarded to Jeffrey Epstein regarding HUPD (Harvard University Police Department). Original shows Richard Kahn contact info (HBRK Associates, full address, phone numbers). Current version has black bars over several names and email addresses, including the person Kahn spoke with ('Celina' redacted in current). Brian Spellman at HUPD still visible.",agent_batch_003,1772672472
EFTA00664969,1,partial_redaction,scheduling_diary,high,"Epstein scheduling diary page for June 8-13, 2013 in Paris. Original shows names: 'Celina & Emma to leave Paris,' 'Ion Nicola to depart STT,' 'Gates in Paris,' 'Polina Sikorska to arrive CDG via AIR France 1857,' 'Tim Zagat back in NY,' 'Michael Wolff in Paris w/Victoria,' 'Sultan' with email. Current version redacts 'Celina & Emma' to just initials/bars, redacts phone numbers and emails, redacts 'Tim' last name partially, redacts Polina's flight record locator. Gates in Paris references and Michael Wolff reference preserved.",agent_batch_005,1772672472
EFTA00665611,0,name_redaction,email,medium,Email about Svetlana and Victoria modeling. Current version redacts the From address and specific names (Asya/Asyuya) visible in the original that identified individuals coordinating visits.,,1772695399
EFTA00665846,2,body_blackout,prusakova_email,medium,"French-language email about Berkeley LLM program — EFEB partnership with 5 reserved spots, Prof Eric Talley, TOEFL 100, $32,985 tuition, addressed to 'Madame Prusakova'. Both text blocks completely blacked out","prusakova,education_program,berkeley_llm,french,body_blackout",2026-03-04 18:36:50
EFTA00665851,2,body_blackout,prusakova_email,medium,"French email about Berkeley LLM Professional Track to Madame Prusakova — TOEFL requirements, $32,985 tuition, CAPA exam conflicts, Mme Legalvie PPI contact, application deadlines. Body completely blacked out","prusakova,education_program,berkeley_llm,french,body_blackout",2026-03-04 18:38:13
EFTA00666114,0,partial_redaction,email,medium,Email thread about sending photos of 'narich friend' and meeting in Paris. References woman who 'makes more money at UBS NY than a 40 years banker-head of Russian desk at Monaco private bank.' Original shows some names/emails. Current version adds minor additional redactions. Discussion of Andrew Auerbach article about young hedge fund creator preserved.,agent_batch_005,1772672472
EFTA00671258,0,name_redaction,travel_record,medium,Current version redacts the From field name/email and recipient details. Travel itinerary for Bella Klein to Lisbon with PXWYZK record locator has expanded header redactions.,,1772695986
EFTA00671509,0,name_redaction,email,medium,Email about Dasha travel to Paris from her hometown. Current version adds black bars over the name Dasha Burak and email/To addresses visible in the original header.,,1772695399
EFTA00672156,0,partial_redaction,amex_travel_itinerary,medium,"Amex Centurion travel booking for flights Vilnius to NY and NY to STT. Original shows full passenger names and booking details. Current version adds redactions over some passenger info. Lesley Groff requesting travel for Lithuanian passport holder (Aurelija Auskeltye, DOB 1993-11-26). Flight dates Sept 18-25 2015 visible in both.",agent_batch_006,1772672472
EFTA00676958,0,partial_redaction,email (personal/recommendation),medium,"Email from Epstein (jeevacation@gmail.com) about a young woman he describes as a 'very good and trusted friend' in the Bay Area. Discusses her education, living situation, and need for flights. Original shows full name of the woman and personal details. Current version redacts the woman's name and some identifying details with black boxes.",agent_batch_002,1772672472
EFTA00677895,0,name_redaction,email,medium,"Email from lvjet@aol.com about Immigration St Maarten phone number. Original shows ""Svetlana Pozhidaeva"" <svetlanapo314@gmail.com> in To field. Current version redacts the Svetlana Pozhidaeva name and email completely with a black box.",,1772695399
EFTA00678485,0,name_redaction,email,medium,Email thread about property manager for NYC residence with Dwight Mossman and Steve Hanson. Current version redacts a name in the resume reference that was visible in original.,,1772695399
EFTA00678696,0,partial_redaction,email,medium,"Email from Cimberly Galindo about scheduling. Original shows full names and email addresses. Current version redacts the sender's name/email and some names in the email thread, plus a phone number visible in the original.",,1772695399
EFTA00678736,0,name_redaction,email,medium,Black redaction bars applied over sender email address in the From line and over a name in the body. Original showed the email address and a name clearly.,,1772696995
EFTA00678846,0,name_redaction,email,low,Both versions show same email chain with minor differences in redaction coverage of email addresses in reply headers. Some names appear slightly differently obscured but overall content is preserved.,,1772695986
EFTA00678949,0,name_redaction,email,high,Email about haircut request. Original shows sender name and email with partial redaction; current version expands black redactions to cover the sender's full name and email address in both From and body lines.,,1772696995
EFTA00679198,0,partial_redaction,email,medium,Email re Paris Bull mastiff photos from Jeffrey Epstein. Nov 2015. Original shows recipient email visible. Current version adds redaction bars over some email addresses and names in header and forwarded message. Most body text unchanged.,agent_batch_007,1772672472
EFTA00681554,0,partial_redaction,email,medium,"Email from Olga Ponomar-Becker forwarding CV of friend 'Salhanat Brasava' for assistant position. Original shows full name and email. Current version redacts Olga's name from header and greeting, and friend's name 'Salhanat Brasava' from body. Description of candidate (studied media/politics in Netherlands, Young Ambassadors at IOC) preserved.",agent_batch_005,1772672472
EFTA00683874,0,partial_redaction,email (personal/scheduling),medium,"Email about personal scheduling and property details with trust/financial references. Original shows names, financial percentages, property descriptions. Current version adds black box redactions over names and some financial details while preserving the general structure of property/trust discussion.",agent_batch_002,1772672472
EFTA00684871,1,name_redaction,email,medium,Email thread about fashion/vogue with mentions of chloe blouse. Current version redacts some email addresses in the forwarded message headers that were visible in original.,,1772695399
EFTA00688930,0,name_redaction,email,medium,Email about Mariana Tora music and Constance Hausman at Opera Academy. Current version adds black box redactions over email addresses and some names in body text that were previously visible.,,1772695399
EFTA00689258,0,name_redaction,email,medium,"Email from sender to Jeffrey Epstein. Current version redacts the From sender name/email, expanding the black redaction box to cover identifying information that was previously visible.",,1772696995
EFTA00691538,0,partial_redaction,email,medium,"Email from Lesley Groff about USB package delivery. Original shows several redacted names but ""Lesley"" references are more visible. Current version adds ""Lesley Groff"" identification in some previously-redacted To fields and expands name redactions throughout the thread.",,1772695399
EFTA00695530,2,name_redaction,email,medium,Current version redacts sender/recipient names and contact details with black bars. Original showed visible personal information in the email chain.,,1772695986
EFTA00695535,1,partial_redaction,email,medium,"Email from Paul Conti discussing therapy for a woman. Original shows woman's full name and physical description (height, weight). Current version has black bars over the woman's name. Conti discusses scheduling therapy sessions and rates. Content about her mental health issues partially redacted.",agent_batch_003,1772672472
EFTA00696251,0,partial_redaction,email_name_list,high,"Epstein email (jeevacation@gmail.com) listing names. Original shows full names: ana, julia johna, camila alma, melize, mari, daniel ramsey, assay wendy, emily, marina, ukriana, gregory apt, araine, jalang, jabor, kelimbtv, churkin, gates, boris, terje, jes, leon, mort, sergey thiel, burns, rumeeler, eric, leah, gianni, oliver, reid reid joi tom larry, ehud nov. Current version redacts many names with black bars - several first names removed. High-profile names like gates remain visible.",agent_batch_006,1772672472
EFTA00697261,8,name_redaction,email,medium,Black redaction bars applied over sender email and name in the From field of the email header. Original showed name and email address visible.,,1772696995
EFTA00701218,0,name_redaction,email,high,"Original shows names ""celina"" and ""meria"" visible in subject and body of this email with guest list; current version has expanded black redaction bars covering several names in the subject line and body that were previously visible.",,1772696995
EFTA00702453,0,name_redaction,email,medium,Current version applies redactions over names in the email thread; original showed more personal details visible in the forwarded message chain.,,1772695986
EFTA00706182,0,name_redaction,email,medium,"Email to Jeffrey Epstein about meeting at Svet and Jen agency. Original shows names ""Svet and Jen"" visible in body. Current version redacts these names with black boxes, changing to ""the girl at [redacted] and [redacted] agency."" Also expands From field redaction.",,1772695399
EFTA00706299,1,name_redaction,email,medium,Additional black bar redactions over personal names and email addresses in forwarded email thread; original had more visible identity information.,,1772696995
EFTA00710537,0,partial_redaction,email,medium,"Email between Elen capri and Jeffrey Epstein. Original shows ""Elen capri"" name in From field. Current version redacts the From name, and redacts some content in the email chain including names and locations (""miami"" to ""to nahol"" area).",,1772695399
EFTA00715433,6,partial_redaction,email,medium,"Email from Magnus Resch about Phaidon business. Original shows ""65 Bleecker Street 8th FL"" address at top. Current version redacts this address line and the address/contact in Keith Fox's signature block at bottom of page.",,1772695399
EFTA00716714,0,partial_redaction,email_photo,medium,Email from Jeffrey Epstein about Paris Bull mastiff photos. Nov 2015. Includes Italian text. Original shows some recipient addresses. Current version adds redaction bars but content about photos and recipient communication remains. Multiple confidentiality notices.,agent_batch_007,1772672472
EFTA00717185,0,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=13.3%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00719413,0,partial_redaction,email,medium,"Email between parties about Ivorian Ambassador Yousoufou Bamba. Original shows names like Nina K and email addresses. Current version redacts some email addresses but ambassador name remains. Discussion about meeting at embassy on 42nd and 2nd, Tl:st between 3rd and 1st still visible.",agent_batch_006,1772672472
EFTA00720125,0,partial_redaction,email,low,Email document. Minor rendering differences between versions. No substantive redaction changes visible.,agent_batch_007,1772672472
EFTA00720211,0,name_redaction,email,medium,Current version redacts the From field sender name and applies redaction in the email body; original showed sender name visible (irinairina22@yahoo.com sender).,,1772695986
EFTA00720222,0,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=7.2%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00720230,0,partial_redaction,email_scheduling,medium,"Email about scheduling. Sept 18 2011. Someone left message, also contacted 'big Katya.' Jeffrey Epstein asks 'can victoria do 10 this morning?' Original shows sender email and full names. Current version adds redaction bars over sender from address and some reply-to addresses. 'Katya' name redacted. Key scheduling content remains.",agent_batch_007,1772672472
EFTA00720286,0,name_redaction,email,medium,Email from sender at yahoo.com to Jeffrey Epstein about sleeping schedule. Current version redacts the From sender name/email and the To email in the reply chain header.,,1772696995
EFTA00720315,0,name_redaction,email,medium,Original showed recipient name Anastasiya and email address in To field; current version has black redaction bar covering the To field recipient name and email address.,,1772696995
EFTA00720317,0,name_redaction,email,medium,Additional black bar redactions over names and email addresses in the email header area; original showed more of the sender/recipient details.,,1772696995
EFTA00720319,0,partial_redaction,email,medium,"Email thread between Jeffrey Epstein and someone discussing her studies at Sorbonne, Minerva project at Harvard. Original shows sender name 'Mary Prudnikova' and full email address. Current version has black bars over sender name. Discussion of Models UN and visualization work.",agent_batch_003,1772672472
EFTA00720363,0,name_redaction,email,medium,Current version redacts the sender name/email in the From field header. The original showed the full sender identity. Body text and quoted messages remain the same.,,1772713228
EFTA00720380,0,name_redaction,email,medium,Email about visiting Jeffrey's house with African leaders in Paris. Current version redacts the From sender name/email and To recipient that were visible in the original.,,1772695399
EFTA00720539,0,name_redaction,email,medium,Original showed recipient name Anastasiya with email anastasiya21ok@gmail.com in To field with strikethrough; current version has black redaction bar covering the entire To field name and email address.,,1772696995
EFTA00724117,17,name_redaction,email,medium,Black redaction bars applied over email addresses and names in the email header fields (From/To/CC). Original showed names and email addresses of correspondents.,,1772696995
EFTA00727455,1,partial_redaction,legal_filing,medium,"Court order page (C.M.A. v. Epstein et al, Case 9:08-cv-80811-KAM) regarding consolidation of separately filed actions. Original shows 'JD 101 & 102' references and partially visible plaintiff name. Current version redacts plaintiff name with black bar and case header details. Legal analysis about why consolidation is denied remains visible.",agent_batch_005,1772672472
EFTA00728481,1,partial_redaction,legal_filing,medium,Legal filing — names/addresses/identifiers partially redacted in court documents. Batch-classified. pct_changed=14.2%,"legal_filing,batch_classified",2026-03-04 18:47:11
EFTA00728652,4,partial_redaction,court_filing,medium,"Current version redacts the case number from the header (""Case 9:08-cv-80119-KAM"" partially blacked out) and redacts the defendant name reference. Original showed full case caption; current version partially redacts it.",,1772695986
EFTA00734429,0,name_redaction,email,high,Original shows full sender email visible; current version has expanded black redaction boxes covering email addresses in From/To header and in the body quoted email chain with Richard Kahn correspondence.,,1772696995
EFTA00736012,0,name_redaction,email,medium,Current version applies additional black bar redactions over names and details; original showed personal information more visible in the email.,,1772695986
EFTA00736093,0,name_redaction,email,medium,Current version redacts a name (likely Simona) in the email body text; original showed the name visible. Minor redaction of sender name details.,,1772695986
EFTA00736286,1,partial_redaction,Epstein personal notes/property list,medium,"Handwritten-style text listing personal property and trust details. Original shows names like 'Mariana' in Skype sender fields and descriptive text. Current version redacts sender names, participant names, and personal details in Skype log entries with black boxes. Educational/career discussion text partially redacted.",agent_batch_002,1772672472
EFTA00736290,1,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=7.1%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00736294,1,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=7.1%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00736326,0,name_redaction,email,medium,Current version redacts the To field name (David Stern) and From/CC details more completely. Email about Dukes Hotel financial information from Shaju Perinchery with Bobby Abraham CC has expanded header redactions.,,1772695986
EFTA00736422,1,partial_redaction,legal_document,medium,Document page. Original shows more visible text content. Current version has additional black boxes/bars applied over portions. Moderate partial redaction.,agent_batch_001,1772672472
EFTA00736429,1,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=8.1%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00737837,1,name_redaction,email,medium,Black redaction bars applied over a name in the email thread. Original had correspondent names visible.,,1772696995
EFTA00742640,0,name_redaction,email,medium,Original showed visible recipient names/emails in To field and body; current version has expanded black redaction bars covering the addressee identity and inline name references.,,1772696995
EFTA00742680,0,name_redaction,email,medium,"Original shows sender name ""Andre"" and email visible; current version has expanded redaction over sender name in the email about travel routing through Dallas with request for address and border formular.",,1772696995
EFTA00742682,0,name_redaction,email,medium,Current version adds black redaction bars over names and email addresses in the quoted reply chain. The original showed more of the correspondent's identity in the email headers within the thread.,,1772713228
EFTA00742702,0,name_redaction,email,medium,Email chain about travel through Dallas to Miami: current version redacts some email addresses in the thread headers; sender name Kim and body text about flights unchanged.,,1772713228
EFTA00742705,1,name_redaction,email,medium,Original showed recipient name and email visible in To line and body text; current version has additional black redaction bars obscuring name references within the email body.,,1772696995
EFTA00742710,1,name_redaction,email,medium,Original showed visible names/emails in To field and body text references; current version has expanded redaction bars covering additional personal identifiers.,,1772696995
EFTA00744916,0,no_visible_change,photo_page,none,Both versions show the same construction site photograph on Little St. James island. No visible differences detected between original and current version.,,1772696995
EFTA00749643,0,partial_redaction,email,medium,"Email from Lesley Groff about schedule. Original shows CC recipients with email addresses partially visible. Current version redacts email addresses more aggressively. Schedule content including Dr Knapp, David Mitchell, and appointments remains visible.",agent_batch_006,1772672472
EFTA00750038,0,name_redaction,email,high,Long email chain about recruiting/scheduling young women for Epstein. Current version adds new redactions over multiple personal names (first names of women being discussed) throughout the body text.,,1772696995
EFTA00750113,0,name_redaction,email,high,"Email about evaluating new assistant candidates (Bertille and Elodie Bouneau). Current version redacts ""Bertille"" name throughout and ""Elodie Bouneau"" description/name, replacing with black boxes.",,1772696995
EFTA00754813,0,name_redaction,email,medium,Current version adds black redaction bars over personal names and email addresses in the header. Body content remains unchanged.,,1772713228
EFTA00757896,0,name_redaction,email,medium,Current version applies additional redactions over 'Roza Kaktus' name in quoted sections; original showed the name visible in From fields.,,1772695986
EFTA00758341,0,name_redaction,email,medium,"Scheduling email with multiple appointments: current version redacts several names throughout the schedule (salon appointments, driver references, arrival info); structure and times remain.",,1772695986
EFTA00759131,0,name_redaction,email,medium,Email forwarding apartment hunting request: current version redacts the To field name (Anastasiya Sinovich) and the forwarded From name (Iana zdorovets) in the thread.,,1772713228
EFTA00759817,0,name_redaction,email,medium,Black redaction bars applied over sender name and email address and over names in the email body. Original showed names of correspondents visible including Irina.,,1772696995
EFTA00762870,0,name_redaction,email,medium,Current version applies additional small redactions within email body text covering personal names; original showed slightly more text visible in several name locations.,,1772695986
EFTA00764150,0,name_redaction,email,medium,Current version redacts sender name in email header and recipient addresses with black bars. Original showed names visibly in the email chain.,,1772695986
EFTA00765248,0,partial_redaction,email,medium,"Email from Lesley Groff to Epstein re schedule. Original shows visible email addresses in CC field for multiple staff (fontanilla, Jojo, etc). Current version redacts all email addresses in CC field with black bars but keeps names visible. Schedule content (Dr Knapp 8am, David Mitchell 2pm, Yves 4pm, Jamie Heywood 4pm) unchanged.",agent_batch_006,1772672472
EFTA00767314,0,minor_change,email,low,"Email scheduling a Monday meeting. Lesley Groff to Jeffrey Epstein. Original shows multiple CC email addresses and names visible (Lyn fontanilla, Jojo, Svetlana Pozhidaeva, karynashuliak). Current version has black bars over many email addresses and some names in CC/To fields. Names of meeting attendees (Karyna, Valdson) partially redacted.",agent_batch_003,1772672472
EFTA00770886,0,name_redaction,email,medium,Current version adds black redaction bars over some names and email addresses in the email thread about cosmetic procedures. The discussion about skin treatment and photos remains visible.,,1772713228
EFTA00773405,0,content_removal,email (forwarded links to Epstein),high,"Email from 'N E M' (Nadia Marcinkova) to 'JE Jail' (jeevacation@gmail.com) forwarding garden/bonsai website URLs. Original shows full 'From: N E M' name, 'To: Nadja Marcinkova' in forwarded header, and multiple URLs (jardinsroisoleil, jardinmajorelle, Google Images cactus search, phoenixbonsai, coolroses). Current version redacts sender name to black box, removes 'Nadja Marcinkova' name, and replaces ALL URLs with black redaction boxes.",agent_batch_002,1772672472
EFTA00774041,0,name_redaction,court_filing,high,Court stipulation for substitution of counsel (Jane Doe #1 and Jane Doe #2 v. USA): current version redacts plaintiff names Jane Doe #1 and case number; Sarah Kellen name redacted.,,1772695986
EFTA00774533,0,body_blackout,prusakova_email,medium,"Prusakova 'Education Program' email — email body/essay content blacked out, headers preserved. Batch-classified from established pattern. pct_changed=6.8%","prusakova_cluster,education_program,batch_classified",2026-03-04 18:47:11
EFTA00774797,1,name_redaction,other,high,Current version adds large black redaction bars over a person's full name and register number in what appears to be a federal absconder inquiry. Original showed the name and register number in plain text.,,1772713228
EFTA00774799,0,partial_redaction,email,medium,Email from Bruce Reinhart to Jeffrey Epstein about a federal absconder. Original shows street address (250 Australian Avenue South) visible in Reinhart's signature. Current version redacts the street address line and the website (www.BruceReinhartLaw.com) while making the address visible in a different rendering. Also a name in the body is more heavily redacted.,,1772695399
EFTA00775520,0,name_redaction,email,medium,Current version redacts personal names and email addresses with black bars in the email headers. Original showed visible identities in the communication.,,1772695986
EFTA00777886,0,name_redaction,email,low,Current version redacts the To field email addresses; original showed the email recipients visible. Content of the email (event guest list) remains unchanged.,,1772695986
EFTA00777889,0,name_redaction,email,medium,Email from Mary Prusakova about applying to 4 schools (berkeley stanford UCLA Harvard) and LSAT prep. Current version adds black box redactions over the From email address where it was previously visible.,,1772695399
EFTA00779775,7,content_removal,investigative_research,medium,"Handwritten annotations on printed research document about Epstein-Maxwell-Ellis Family-John Olsen connections, civil lawsuits, Jane Doe v. United States (2014), CVRA case details, Prince Andrew references. Original shows some redacted victim names. Current version appears nearly identical with same redaction pattern. Minor differences in scan quality.",agent_batch_000,1772672472
EFTA00779812,0,partial_redaction,email_personal,high,"Email from former beauty queen to Jeffrey Epstein. May 2009. She describes life changes: married, daughter named Jamie, husband in South Carolina, freelance court reporting. Still modeling furniture. Pageant consulting. References 'Miss United States 2005' and 'Miss South Carolina USA 2003' titles (crossed out). Original shows full name. Current version redacts her name and husband's name but personal life details and pageant history remain.",agent_batch_007,1772672472
EFTA00782807,11,name_redaction,other,medium,"Original shows WhatsApp/iMessage extraction with ""nadia"" sender name visible; current version has expanded black redaction bars covering ""nadia"" sender name fields throughout the message list entries.",,1772696995
EFTA00783816,1,name_redaction,email,high,"Original shows sender email/name with partial redaction; current version expands black box redactions over the From field and email addresses, removing visible sender identity information.",,1772696995
EFTA00784306,11,name_redaction,email,medium,Skype message logs. Current version adds additional redaction bars over participant names/usernames including Mariana and Athena Zelcovich entries that were partially visible in original.,,1772695399
EFTA00791942,9,partial_redaction,tax_return,medium,"IRS Schedule C 2014 — ANASTASIYA SIROOCHENKO, MODELING, EIN 711510. Business at 121 East 69th Street #2 NYC. Income $3,200, expenses (office $154, entertainment $982, taxes $788), net profit $1,276. Footer: SIROOCHENKO 2014.03000. CURRENT: Name removed from lines A and E. Business address, all financial figures preserved. Same name-only redaction pattern as 2017 return.","tax_return,schedule_c,modeling,name_removed,siroochenko",1772669644
EFTA00791995,25,partial_redaction,tax_return,medium,"IRS Schedule C Form 1040 Profit or Loss From Business 2017. Name: ANASTASIYA SIROOCHENKO, Art Dealer, SUBLIME ART LLC, 244 Fifth Ave #1590 NYC. SSN ***-**-9816 EIN ***7860. Gross income $3,230,000. Expenses: advertising $4,850, insurance $3,159, legal $12,000. Net profit $1,572,867. CURRENT: name ANASTASIYA SIROOCHENKO removed from line A. All other data preserved including business name, address, income figures, partial SSN. Name-only redaction.","tax_return,schedule_c,art_dealer,sublime_art,name_removed,financial",1772669596
EFTA00792081,27,partial_redaction,tax_return,medium,"IRS Schedule C 2017 — ANASTASIYA SIROOCHENKO, ART DEALER, SUBLIME ART LLC, 244 Fifth Ave #1590 NYC. Income $3,230,000, commissions $225,000, supplies $5,519, insurance $3,159, legal $12,000, wages $48,958. Net profit $1,645,828. CURRENT: Name removed from line A. All financial data and business info preserved. Third Siroochenko tax return with same name-only redaction.","tax_return,schedule_c,art_dealer,sublime_art,name_removed,siroochenko",1772669644
EFTA00792171,25,partial_redaction,tax_return,medium,"IRS Schedule C 2017 — duplicate of EFTA00792081. ANASTASIYA SIROOCHENKO, ART DEALER, SUBLIME ART LLC, 244 Fifth Ave #1590 NYC. Income $3,230,000, net profit $1,645,828. CURRENT: Name removed from line A. All financials preserved. Same name-only redaction pattern. Duplicate page.","tax_return,schedule_c,siroochenko,duplicate,name_removed",1772669694
EFTA00792612,12,minor_change,art magazine page (Korean),low,House of the Nobleman art gallery magazine page in Korean showing London art preview. Both versions appear nearly identical with same photos and same text layout. Minor scan/rendering quality differences only.,agent_batch_002,1772672472
EFTA00792756,1,partial_redaction,email,medium,"Email from Lesley Groff to Jeffrey Epstein CC multiple recipients. Original shows full email addresses in CC list and names. Current version has black bars over email addresses. Subject: Tickets to TX, separate schedule discussion.",agent_batch_003,1772672472
EFTA00793037,0,partial_redaction,legal letter (Steptoe under seal),medium,"Steptoe law firm letter submitted under seal to Hon. John G. Koeltl re Jane Doe 41 v. Epstein. Discusses motion to dismiss, Giuffre v. Maxwell case (15 Civ. 7433), and protective order. Original shows Lesley Groff name alongside Jeffrey Epstein as defendants. Current version redacts some case references and names with black boxes while preserving core legal arguments.",agent_batch_002,1772672472
EFTA00793971,8,partial_redaction,legal_filing,medium,Legal filing — names/addresses/identifiers partially redacted in court documents. Batch-classified. pct_changed=12.2%,"legal_filing,batch_classified",2026-03-04 18:47:11
